HourDK,DE,DK1,DK2,NO2,SE3,SE4
2017-03-01 01:00:00,29.57,27.2,27.2,29.83,27.2,27.2
2017-03-01 02:00:00,28.61,26.38,26.38,29.54,26.38,26.38
2017-03-01 03:00:00,25.52,25.52,25.52,29.65,25.52,25.52
2017-03-01 04:00:00,28.65,28.65,28.65,29.36,28.65,28.65
2017-03-01 05:00:00,29.98,29.98,29.98,29.98,29.98,29.98
2017-03-01 06:00:00,32.4,30.89,30.89,30.89,30.89,30.89
2017-03-01 07:00:00,41.96,32.04,32.04,32.04,32.04,32.04
2017-03-01 08:00:00,42.08,32.74,32.8,32.74,32.8,32.8
2017-03-01 09:00:00,39.99,32.71,32.72,32.71,32.72,32.72
2017-03-01 10:00:00,39.9,32.4,32.4,32.4,32.4,32.4
2017-03-01 11:00:00,36.92,32.2,32.2,32.2,32.2,32.2
2017-03-01 12:00:00,31.22,31.22,31.22,31.22,31.22,31.22
2017-03-01 13:00:00,30.74,30.74,30.74,30.74,30.74,30.74
2017-03-01 14:00:00,30.83,30.83,30.83,30.83,30.83,30.83
2017-03-01 15:00:00,32.16,31.5,31.5,31.5,31.5,31.5
2017-03-01 16:00:00,38.63,32.03,32.03,32.03,32.03,32.03
2017-03-01 17:00:00,46.82,32.48,32.48,32.48,32.48,32.48
2017-03-01 18:00:00,51.99,33.78,34.35,33.78,34.35,34.35
2017-03-01 19:00:00,49.68,32.4,32.4,32.4,32.4,32.4
2017-03-01 20:00:00,39.93,32.13,32.13,32.13,32.13,32.13
2017-03-01 21:00:00,34.9,31.68,31.68,31.68,31.68,31.68
2017-03-01 22:00:00,31.93,31.61,31.61,31.16,31.16,31.16
2017-03-01 23:00:00,29.7,29.7,29.7,30.14,29.7,29.7
2017-03-02 00:00:00,29.73,29.73,29.73,29.73,29.73,29.73
2017-03-02 01:00:00,29.49,29.49,29.31,29.36,29.31,29.31
2017-03-02 02:00:00,25.99,26.33,26.51,28.87,26.51,26.51
2017-03-02 03:00:00,26.0,26.55,26.55,28.82,26.55,26.55
2017-03-02 04:00:00,26.17,28.28,28.28,29.01,28.28,28.28
2017-03-02 05:00:00,26.04,29.63,29.97,29.97,29.97,29.97
2017-03-02 06:00:00,31.04,31.04,31.04,31.04,31.04,31.04
2017-03-02 07:00:00,33.57,33.57,33.57,32.5,33.23,33.57
2017-03-02 08:00:00,34.19,34.19,34.19,34.19,34.19,34.19
2017-03-02 09:00:00,30.85,32.66,32.66,32.66,32.66,32.66
2017-03-02 10:00:00,26.0,32.41,32.41,32.41,32.41,32.41
2017-03-02 11:00:00,25.08,32.24,32.24,32.24,32.24,32.24
2017-03-02 12:00:00,12.63,32.04,32.04,32.04,32.04,32.04
2017-03-02 13:00:00,10.45,31.7,31.7,31.7,31.7,31.7
2017-03-02 14:00:00,10.48,31.18,31.18,31.18,31.18,31.18
2017-03-02 15:00:00,25.01,31.07,31.07,31.07,31.07,31.07
2017-03-02 16:00:00,25.92,27.72,31.05,31.05,31.05,31.05
2017-03-02 17:00:00,32.17,32.17,32.17,32.12,32.17,32.17
2017-03-02 18:00:00,39.9,35.8,37.06,32.52,37.06,37.06
2017-03-02 19:00:00,38.91,32.02,32.02,32.02,32.02,32.02
2017-03-02 20:00:00,31.95,31.18,31.18,31.18,31.18,31.18
2017-03-02 21:00:00,30.47,30.47,30.47,30.47,30.47,30.47
2017-03-02 22:00:00,29.25,29.25,29.25,30.03,29.25,29.25
2017-03-02 23:00:00,25.07,25.07,25.07,29.94,27.14,27.14
2017-03-03 00:00:00,27.02,27.02,27.02,29.89,27.53,27.53
2017-03-03 01:00:00,26.47,26.47,26.47,29.93,26.47,26.47
2017-03-03 02:00:00,26.03,26.03,26.03,29.94,26.03,26.03
2017-03-03 03:00:00,28.99,28.13,28.13,29.57,28.13,28.13
2017-03-03 04:00:00,30.91,29.92,29.92,29.92,29.92,29.92
2017-03-03 05:00:00,32.36,30.79,30.79,30.79,30.79,30.79
2017-03-03 06:00:00,41.91,31.72,31.72,31.72,31.72,31.72
2017-03-03 07:00:00,48.0,32.33,32.33,32.33,32.33,32.33
2017-03-03 08:00:00,47.57,32.55,32.55,32.55,32.55,32.55
2017-03-03 09:00:00,46.5,32.42,32.42,32.42,32.42,32.42
2017-03-03 10:00:00,43.49,32.19,32.19,32.19,32.19,32.19
2017-03-03 11:00:00,43.47,31.96,31.96,31.96,31.96,31.96
2017-03-03 12:00:00,41.02,31.8,31.8,31.8,31.8,31.8
2017-03-03 13:00:00,39.83,31.58,31.58,31.58,31.58,31.58
2017-03-03 14:00:00,39.1,31.5,31.5,31.5,31.5,31.5
2017-03-03 15:00:00,38.6,30.81,31.46,31.46,31.46,31.46
2017-03-03 16:00:00,40.97,17.88,31.83,31.83,31.83,31.83
2017-03-03 17:00:00,41.91,38.85,38.85,32.57,32.57,38.85
2017-03-03 18:00:00,42.18,42.18,42.18,33.87,33.87,41.17
2017-03-03 19:00:00,44.95,32.83,32.83,32.83,32.83,32.83
2017-03-03 20:00:00,41.01,31.98,31.98,31.98,31.98,31.98
2017-03-03 21:00:00,35.29,31.73,31.73,31.73,31.73,31.73
2017-03-03 22:00:00,36.25,31.33,31.33,31.33,31.33,31.33
2017-03-03 23:00:00,34.56,30.87,30.87,30.87,30.87,30.87
