HourDK,DE,DK1,DK2,NO2,SE3,SE4
2012-03-01 03:00:00,30.93,30.93,30.93,30.93,30.93,30.93
2012-03-01 04:00:00,35.09,32.25,32.25,32.25,32.25,32.25
2012-03-01 05:00:00,39.96,32.51,32.51,32.51,32.51,32.51
2012-03-01 06:00:00,49.01,33.68,33.68,33.3,33.3,33.3
2012-03-01 07:00:00,56.93,42.45,42.45,34.11,34.11,40.75
2012-03-01 08:00:00,62.4,43.15,43.15,34.27,34.27,43.15
2012-03-01 09:00:00,62.01,42.6,42.6,34.08,34.08,42.6
2012-03-01 10:00:00,52.99,42.58,42.58,34.01,34.01,42.58
2012-03-01 11:00:00,51.1,42.5,42.5,33.88,34.13,42.5
2012-03-01 12:00:00,45.8,39.79,39.79,33.61,33.61,39.79
2012-03-01 13:00:00,42.31,40.25,40.25,33.38,33.38,40.25
2012-03-01 14:00:00,43.82,35.69,35.69,33.43,33.43,35.69
2012-03-01 15:00:00,47.28,35.34,35.34,33.37,33.37,35.34
2012-03-01 16:00:00,48.85,33.58,33.58,33.35,33.35,33.35
2012-03-01 17:00:00,51.07,39.68,39.68,33.6,33.6,39.68
2012-03-01 18:00:00,59.93,42.48,42.48,33.84,33.88,42.48
2012-03-01 19:00:00,64.72,38.44,38.44,33.63,33.63,38.44
2012-03-01 20:00:00,53.96,35.38,35.38,33.29,33.29,33.29
2012-03-01 21:00:00,47.88,33.05,33.05,33.05,33.05,33.05
2012-03-01 22:00:00,45.21,32.19,32.19,32.19,32.19,32.19
2012-03-01 23:00:00,37.82,31.14,31.14,31.14,31.14,31.14
2012-03-02 00:00:00,40.28,30.24,30.24,30.24,30.24,30.24
2012-03-02 01:00:00,40.42,29.67,29.67,29.67,29.67,29.67
2012-03-02 02:00:00,38.9,29.31,29.31,29.31,29.31,29.31
2012-03-02 03:00:00,35.6,30.36,30.36,30.36,30.36,30.36
2012-03-02 04:00:00,37.32,31.64,31.64,31.64,31.64,31.64
2012-03-02 05:00:00,42.11,32.01,32.01,32.01,32.01,32.01
2012-03-02 06:00:00,52.77,34.58,34.58,32.61,32.61,32.61
2012-03-02 07:00:00,60.23,41.67,41.67,33.62,33.62,33.62
2012-03-02 08:00:00,60.21,42.1,42.1,34.17,34.17,34.17
2012-03-02 09:00:00,57.93,42.43,42.43,34.04,34.04,34.04
2012-03-02 10:00:00,53.89,42.06,42.06,33.67,33.67,33.67
2012-03-02 11:00:00,51.86,42.0,42.0,33.01,33.01,33.01
2012-03-02 12:00:00,51.0,42.04,42.04,32.72,32.72,32.72
2012-03-02 13:00:00,51.24,41.7,41.7,32.33,32.33,32.33
2012-03-02 14:00:00,45.52,41.57,41.57,32.23,32.23,32.23
2012-03-02 15:00:00,43.68,41.58,41.58,32.13,32.13,32.13
2012-03-02 16:00:00,44.67,41.68,41.68,32.21,32.21,32.21
2012-03-02 17:00:00,51.95,51.9,51.9,32.74,32.74,32.74
2012-03-02 18:00:00,60.48,60.4,60.4,33.21,33.21,33.21
