HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2022-02-28T23:00:00+00:00,2022-03-01T00:00:00,DE,1065.29,143.17
2022-02-28T22:00:00+00:00,2022-02-28T23:00:00,DE,1042.41,140.09
2022-02-28T21:00:00+00:00,2022-02-28T22:00:00,DE,1215.12,163.3
2022-02-28T20:00:00+00:00,2022-02-28T21:00:00,DE,1021.2,137.24
2022-02-28T19:00:00+00:00,2022-02-28T20:00:00,DE,1542.67,207.32
2022-02-28T18:00:00+00:00,2022-02-28T19:00:00,DE,2099.78,282.19
2022-02-28T17:00:00+00:00,2022-02-28T18:00:00,DE,2232.3,300
2022-02-28T16:00:00+00:00,2022-02-28T17:00:00,DE,2087.65,280.56
2022-02-28T15:00:00+00:00,2022-02-28T16:00:00,DE,1888.45,253.79
2022-02-28T14:00:00+00:00,2022-02-28T15:00:00,DE,1475.1,198.24
2022-02-28T13:00:00+00:00,2022-02-28T14:00:00,DE,1050.45,141.17
2022-02-28T12:00:00+00:00,2022-02-28T13:00:00,DE,1007.51,135.4
2022-02-28T11:00:00+00:00,2022-02-28T12:00:00,DE,1020.09,137.09
2022-02-28T10:00:00+00:00,2022-02-28T11:00:00,DE,1083.04,145.55
2022-02-28T09:00:00+00:00,2022-02-28T10:00:00,DE,1218.98,163.82
2022-02-28T08:00:00+00:00,2022-02-28T09:00:00,DE,1988.98,267.3
2022-02-28T07:00:00+00:00,2022-02-28T08:00:00,DE,2298.52,308.9
2022-02-28T06:00:00+00:00,2022-02-28T07:00:00,DE,2402.7,322.9
2022-02-28T05:00:00+00:00,2022-02-28T06:00:00,DE,2120.46,284.97
2022-02-28T04:00:00+00:00,2022-02-28T05:00:00,DE,1614.7,217
2022-02-28T03:00:00+00:00,2022-02-28T04:00:00,DE,1465.88,197
2022-02-28T02:00:00+00:00,2022-02-28T03:00:00,DE,1326.43,178.26
2022-02-28T01:00:00+00:00,2022-02-28T02:00:00,DE,1380.83,185.57
2022-02-28T00:00:00+00:00,2022-02-28T01:00:00,DE,1295.18,174.06
