HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2022-02-28T23:00:00+00:00,2022-03-01T00:00:00,DK2,101.64,13.66
2022-02-28T22:00:00+00:00,2022-02-28T23:00:00,DK2,987.12,132.66
2022-02-28T21:00:00+00:00,2022-02-28T22:00:00,DK2,1066.74,143.36
2022-02-28T20:00:00+00:00,2022-02-28T21:00:00,DK2,910.11,122.31
2022-02-28T19:00:00+00:00,2022-02-28T20:00:00,DK2,1245.47,167.38
2022-02-28T18:00:00+00:00,2022-02-28T19:00:00,DK2,1487,199.84
2022-02-28T17:00:00+00:00,2022-02-28T18:00:00,DK2,1525.85,205.06
2022-02-28T16:00:00+00:00,2022-02-28T17:00:00,DK2,1519.67,204.23
2022-02-28T15:00:00+00:00,2022-02-28T16:00:00,DK2,1169.87,157.22
2022-02-28T14:00:00+00:00,2022-02-28T15:00:00,DK2,1100,147.83
2022-02-28T13:00:00+00:00,2022-02-28T14:00:00,DK2,1050.44,141.17
2022-02-28T12:00:00+00:00,2022-02-28T13:00:00,DK2,1007.51,135.4
2022-02-28T11:00:00+00:00,2022-02-28T12:00:00,DK2,1020.08,137.09
2022-02-28T10:00:00+00:00,2022-02-28T11:00:00,DK2,1083.03,145.55
2022-02-28T09:00:00+00:00,2022-02-28T10:00:00,DK2,1218.98,163.82
2022-02-28T08:00:00+00:00,2022-02-28T09:00:00,DK2,1825.64,245.35
2022-02-28T07:00:00+00:00,2022-02-28T08:00:00,DK2,2298.52,308.9
2022-02-28T06:00:00+00:00,2022-02-28T07:00:00,DK2,2402.69,322.9
2022-02-28T05:00:00+00:00,2022-02-28T06:00:00,DK2,1903.4,255.8
2022-02-28T04:00:00+00:00,2022-02-28T05:00:00,DK2,1309.54,175.99
2022-02-28T03:00:00+00:00,2022-02-28T04:00:00,DK2,1427.33,191.82
2022-02-28T02:00:00+00:00,2022-02-28T03:00:00,DK2,1065.77,143.23
2022-02-28T01:00:00+00:00,2022-02-28T02:00:00,DK2,1065.1,143.14
2022-02-28T00:00:00+00:00,2022-02-28T01:00:00,DK2,1065.77,143.23
2022-02-27T23:00:00+00:00,2022-02-28T00:00:00,DK2,1214.22,163.18
2022-02-27T22:00:00+00:00,2022-02-27T23:00:00,DK2,1113.76,149.68
2022-02-27T21:00:00+00:00,2022-02-27T22:00:00,DK2,1283.72,172.52
2022-02-27T20:00:00+00:00,2022-02-27T21:00:00,DK2,1398.01,187.88
2022-02-27T19:00:00+00:00,2022-02-27T20:00:00,DK2,1642.22,220.7
2022-02-27T18:00:00+00:00,2022-02-27T19:00:00,DK2,2042.55,274.5
2022-02-27T17:00:00+00:00,2022-02-27T18:00:00,DK2,2051.92,275.76
2022-02-27T16:00:00+00:00,2022-02-27T17:00:00,DK2,1710.68,229.9
2022-02-27T15:00:00+00:00,2022-02-27T16:00:00,DK2,1310.73,176.15
2022-02-27T14:00:00+00:00,2022-02-27T15:00:00,DK2,1127.6,151.54
2022-02-27T13:00:00+00:00,2022-02-27T14:00:00,DK2,831.01,111.68
2022-02-27T12:00:00+00:00,2022-02-27T13:00:00,DK2,848.27,114
