HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2022-02-28T23:00:00+00:00,2022-03-01T00:00:00,NO2,1032.24,138.73
2022-02-28T22:00:00+00:00,2022-02-28T23:00:00,NO2,1016.59,136.62
2022-02-28T21:00:00+00:00,2022-02-28T22:00:00,NO2,1035.86,139.21
2022-02-28T20:00:00+00:00,2022-02-28T21:00:00,NO2,1039.13,139.65
2022-02-28T19:00:00+00:00,2022-02-28T20:00:00,NO2,1053.94,141.64
2022-02-28T18:00:00+00:00,2022-02-28T19:00:00,NO2,1060.93,142.58
2022-02-28T17:00:00+00:00,2022-02-28T18:00:00,NO2,1071.5,144
2022-02-28T16:00:00+00:00,2022-02-28T17:00:00,NO2,1071.5,144
2022-02-28T15:00:00+00:00,2022-02-28T16:00:00,NO2,1060.64,142.54
2022-02-28T14:00:00+00:00,2022-02-28T15:00:00,NO2,1052.3,141.42
2022-02-28T13:00:00+00:00,2022-02-28T14:00:00,NO2,1035.71,139.19
2022-02-28T12:00:00+00:00,2022-02-28T13:00:00,NO2,1027.45,138.08
2022-02-28T11:00:00+00:00,2022-02-28T12:00:00,NO2,1030.13,138.44
2022-02-28T10:00:00+00:00,2022-02-28T11:00:00,NO2,1057.06,142.06
2022-02-28T09:00:00+00:00,2022-02-28T10:00:00,NO2,1116.29,150.02
2022-02-28T08:00:00+00:00,2022-02-28T09:00:00,NO2,1157.22,155.52
2022-02-28T07:00:00+00:00,2022-02-28T08:00:00,NO2,1228.28,165.07
2022-02-28T06:00:00+00:00,2022-02-28T07:00:00,NO2,1119.35,150.43
2022-02-28T05:00:00+00:00,2022-02-28T06:00:00,NO2,1070.68,143.89
2022-02-28T04:00:00+00:00,2022-02-28T05:00:00,NO2,1057.51,142.12
2022-02-28T03:00:00+00:00,2022-02-28T04:00:00,NO2,1037.79,139.47
2022-02-28T02:00:00+00:00,2022-02-28T03:00:00,NO2,1034.89,139.08
2022-02-28T01:00:00+00:00,2022-02-28T02:00:00,NO2,1034.22,138.99
2022-02-28T00:00:00+00:00,2022-02-28T01:00:00,NO2,1034.89,139.08
2022-02-27T23:00:00+00:00,2022-02-28T00:00:00,NO2,1038.39,139.55
2022-02-27T22:00:00+00:00,2022-02-27T23:00:00,NO2,1018.22,136.84
2022-02-27T21:00:00+00:00,2022-02-27T22:00:00,NO2,1023.58,137.56
2022-02-27T20:00:00+00:00,2022-02-27T21:00:00,NO2,1029.98,138.42
2022-02-27T19:00:00+00:00,2022-02-27T20:00:00,NO2,1040.69,139.86
2022-02-27T18:00:00+00:00,2022-02-27T19:00:00,NO2,1048.36,140.89
2022-02-27T17:00:00+00:00,2022-02-27T18:00:00,NO2,1053.49,141.58
2022-02-27T16:00:00+00:00,2022-02-27T17:00:00,NO2,1048.28,140.88
2022-02-27T15:00:00+00:00,2022-02-27T16:00:00,NO2,1036.16,139.25
2022-02-27T14:00:00+00:00,2022-02-27T15:00:00,NO2,1016.66,136.63
2022-02-27T13:00:00+00:00,2022-02-27T14:00:00,NO2,999.32,134.3
2022-02-27T12:00:00+00:00,2022-02-27T13:00:00,NO2,974.92,131.02
2022-02-27T11:00:00+00:00,2022-02-27T12:00:00,NO2,984.66,132.33
2022-02-27T10:00:00+00:00,2022-02-27T11:00:00,NO2,1009.96,135.73
2022-02-27T09:00:00+00:00,2022-02-27T10:00:00,NO2,1022.09,137.36
2022-02-27T08:00:00+00:00,2022-02-27T09:00:00,NO2,1040.92,139.89
2022-02-27T07:00:00+00:00,2022-02-27T08:00:00,NO2,1038.31,139.54
2022-02-27T06:00:00+00:00,2022-02-27T07:00:00,NO2,1033.25,138.86
2022-02-27T05:00:00+00:00,2022-02-27T06:00:00,NO2,1029.31,138.33
2022-02-27T04:00:00+00:00,2022-02-27T05:00:00,NO2,1030.72,138.52
2022-02-27T03:00:00+00:00,2022-02-27T04:00:00,NO2,1035.11,139.11
2022-02-27T02:00:00+00:00,2022-02-27T03:00:00,NO2,1035.41,139.15
2022-02-27T01:00:00+00:00,2022-02-27T02:00:00,NO2,1035.86,139.21
2022-02-27T00:00:00+00:00,2022-02-27T01:00:00,NO2,1036.6,139.31
2022-02-26T23:00:00+00:00,2022-02-27T00:00:00,NO2,1037.42,139.42
2022-02-26T22:00:00+00:00,2022-02-26T23:00:00,NO2,1021.2,137.23
2022-02-26T21:00:00+00:00,2022-02-26T22:00:00,NO2,1028.34,138.19
2022-02-26T20:00:00+00:00,2022-02-26T21:00:00,NO2,1034.07,138.96
2022-02-26T19:00:00+00:00,2022-02-26T20:00:00,NO2,1046.35,140.61
2022-02-26T18:00:00+00:00,2022-02-26T19:00:00,NO2,1056.77,142.01
2022-02-26T17:00:00+00:00,2022-02-26T18:00:00,NO2,1077.68,144.82
2022-02-26T16:00:00+00:00,2022-02-26T17:00:00,NO2,1084.15,145.69
2022-02-26T15:00:00+00:00,2022-02-26T16:00:00,NO2,1050,141.1
2022-02-26T14:00:00+00:00,2022-02-26T15:00:00,NO2,1027.52,138.08
2022-02-26T13:00:00+00:00,2022-02-26T14:00:00,NO2,1024.84,137.72
2022-02-26T12:00:00+00:00,2022-02-26T13:00:00,NO2,1028.34,138.19
2022-02-26T11:00:00+00:00,2022-02-26T12:00:00,NO2,1039.73,139.72
2022-02-26T10:00:00+00:00,2022-02-26T11:00:00,NO2,1056.77,142.01
2022-02-26T09:00:00+00:00,2022-02-26T10:00:00,NO2,1069.34,143.7
2022-02-26T08:00:00+00:00,2022-02-26T09:00:00,NO2,1086.09,145.95
2022-02-26T07:00:00+00:00,2022-02-26T08:00:00,NO2,1070.98,143.92
2022-02-26T06:00:00+00:00,2022-02-26T07:00:00,NO2,1054.16,141.66
2022-02-26T05:00:00+00:00,2022-02-26T06:00:00,NO2,1052.75,141.47
2022-02-26T04:00:00+00:00,2022-02-26T05:00:00,NO2,1051.11,141.25
2022-02-26T03:00:00+00:00,2022-02-26T04:00:00,NO2,1043.9,140.28
