HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2022-02-28T23:00:00+00:00,2022-03-01T00:00:00,SE3,101.64,13.66
2022-02-28T22:00:00+00:00,2022-02-28T23:00:00,SE3,102.24,13.74
2022-02-28T21:00:00+00:00,2022-02-28T22:00:00,SE3,180.15,24.21
2022-02-28T20:00:00+00:00,2022-02-28T21:00:00,SE3,372.49,50.06
2022-02-28T19:00:00+00:00,2022-02-28T20:00:00,SE3,485,65.18
2022-02-28T18:00:00+00:00,2022-02-28T19:00:00,SE3,1060.93,142.58
2022-02-28T17:00:00+00:00,2022-02-28T18:00:00,SE3,1071.5,144
2022-02-28T16:00:00+00:00,2022-02-28T17:00:00,SE3,1071.5,144
2022-02-28T15:00:00+00:00,2022-02-28T16:00:00,SE3,862.71,115.94
2022-02-28T14:00:00+00:00,2022-02-28T15:00:00,SE3,744.1,100
2022-02-28T13:00:00+00:00,2022-02-28T14:00:00,SE3,1024.92,137.74
2022-02-28T12:00:00+00:00,2022-02-28T13:00:00,SE3,1002.37,134.71
2022-02-28T11:00:00+00:00,2022-02-28T12:00:00,SE3,1020.08,137.09
2022-02-28T10:00:00+00:00,2022-02-28T11:00:00,SE3,1057.06,142.06
2022-02-28T09:00:00+00:00,2022-02-28T10:00:00,SE3,1116.29,150.02
2022-02-28T08:00:00+00:00,2022-02-28T09:00:00,SE3,1157.22,155.52
2022-02-28T07:00:00+00:00,2022-02-28T08:00:00,SE3,1304.92,175.37
2022-02-28T06:00:00+00:00,2022-02-28T07:00:00,SE3,1119.35,150.43
2022-02-28T05:00:00+00:00,2022-02-28T06:00:00,SE3,1070.68,143.89
2022-02-28T04:00:00+00:00,2022-02-28T05:00:00,SE3,681.37,91.57
2022-02-28T03:00:00+00:00,2022-02-28T04:00:00,SE3,185.95,24.99
2022-02-28T02:00:00+00:00,2022-02-28T03:00:00,SE3,106.33,14.29
2022-02-28T01:00:00+00:00,2022-02-28T02:00:00,SE3,104.17,14
2022-02-28T00:00:00+00:00,2022-02-28T01:00:00,SE3,103.06,13.85
2022-02-27T23:00:00+00:00,2022-02-28T00:00:00,SE3,102.46,13.77
2022-02-27T22:00:00+00:00,2022-02-27T23:00:00,SE3,111.32,14.96
2022-02-27T21:00:00+00:00,2022-02-27T22:00:00,SE3,332.31,44.66
2022-02-27T20:00:00+00:00,2022-02-27T21:00:00,SE3,446.23,59.97
2022-02-27T19:00:00+00:00,2022-02-27T20:00:00,SE3,1040.69,139.86
2022-02-27T18:00:00+00:00,2022-02-27T19:00:00,SE3,1048.36,140.89
2022-02-27T17:00:00+00:00,2022-02-27T18:00:00,SE3,1053.49,141.58
2022-02-27T16:00:00+00:00,2022-02-27T17:00:00,SE3,1048.28,140.88
2022-02-27T15:00:00+00:00,2022-02-27T16:00:00,SE3,138.85,18.66
2022-02-27T14:00:00+00:00,2022-02-27T15:00:00,SE3,102.24,13.74
2022-02-27T13:00:00+00:00,2022-02-27T14:00:00,SE3,104.32,14.02
2022-02-27T12:00:00+00:00,2022-02-27T13:00:00,SE3,111.99,15.05
2022-02-27T11:00:00+00:00,2022-02-27T12:00:00,SE3,148.74,19.99
2022-02-27T10:00:00+00:00,2022-02-27T11:00:00,SE3,366.54,49.26
2022-02-27T09:00:00+00:00,2022-02-27T10:00:00,SE3,420.41,56.5
2022-02-27T08:00:00+00:00,2022-02-27T09:00:00,SE3,372.35,50.04
2022-02-27T07:00:00+00:00,2022-02-27T08:00:00,SE3,292.28,39.28
2022-02-27T06:00:00+00:00,2022-02-27T07:00:00,SE3,148.74,19.99
2022-02-27T05:00:00+00:00,2022-02-27T06:00:00,SE3,109.23,14.68
2022-02-27T04:00:00+00:00,2022-02-27T05:00:00,SE3,105.66,14.2
2022-02-27T03:00:00+00:00,2022-02-27T04:00:00,SE3,105.66,14.2
2022-02-27T02:00:00+00:00,2022-02-27T03:00:00,SE3,104.47,14.04
2022-02-27T01:00:00+00:00,2022-02-27T02:00:00,SE3,103.88,13.96
